bauw,277.533325211
annalillia,225.244437852
snipe,224.56363555
playerizm,209.155549434
rompe,200.942145562
backstreets,193.729762998
what'cha,182.48266938
herre,175.489452181
jeah,174.865427136
gutfest,172.955550494
probable,163.911476409
herbalz,160.88888418
skirts,157.997758472
rotton,148.84603375
bang,148.154465857
twerk,145.791237197
hoooo,145.056755511
oooho,144.799995762
wrecka,139.576588207
brooklyn,133.078217809
cypress,131.664022021
maan,131.14014726
geto,130.503171308
diggi,127.622145049
looky,126.528157228
trill,125.982908707
whoa,124.902403413
smebbin,122.960327706
jiggable,120.666663135
spaz,119.369491317
killers,117.73878092
wamp,116.284108835
ayer,113.44190671
doowutchyalike,112.622218926
watchy,112.622218926
dicky,111.634525312
yada,109.443867139
uhuh,109.443867139
gangsta,108.200395833
refried,102.806727956
darlin',102.603625443
sister,101.106150183
holla,100.896811553
hustle,98.7378385778
streetz,97.7717578581
gang,97.1852736724
hill,96.9385100992
flickin,96.8244496489
questions,96.7670314032
dhabi,96.7499219375
riggy,96.7499219375
flatline,96.6077289341
briar,96.5333305082
bellyache,96.5333305082
stinky,95.9623012132
nuttin',95.7991282984
half,95.7275386211
dat's,94.4943204054
disco,94.3609505854
movement,93.2043678539
menensky,93.0287710937
rocking,92.6539654313
bebot,92.5111084037
hogging,92.4515938676
elevator,92.2140547779
lazerface,92.171549202
biddy,92.131810437
knot,91.5923542668
short,90.7915056677
knows,90.3796203674
dream,89.572043422
erotica,89.30762025
alladat,89.30762025
strizap,89.30762025
curse,89.232173869
booty,89.0996179935
york,87.9007587339
hooligan,87.7672042018
camera,87.6515905296
pervin,87.2384556484
kiss,87.0307531701
bleep,85.8988063125
funk,85.7888536691
laureate,85.7778924758
delilah,85.5030212021
float,85.4372948358
'posed,84.885654492
straighten,84.6984511971
lil',84.678570652
boston,84.6596947753
pettie,84.4666641947
lotus,84.2883987859
thangs,83.9351658178
detroit,83.8495287054
trust,83.0969559457
gasolina,82.0829003541
whoaaaa,82.0829003541
womp,82.0829003541
stunt,81.8328694407
flint,81.4225586051
diggady,81.1007397258
disrespectful,80.5179182361
cheve,80.4723630915
adjustments,80.4444420902
retrasalo,80.4444420902
zagga,80.4444420902
prendelo,80.4444420902
rrrr,79.7580504041
caliente,79.6801045031
palmdale,79.4239745147
lonely,79.3542006612
hmmm,79.0187501204
coffee,78.6822017874
voodoo,78.339285326
freakit,78.1441677187
thom,78.1441677187
dancin',78.1090906261
gitty,77.9913108633
millionaire,77.5195346817
count,76.886700477
cass,76.5179894275
william,76.4268683949
chiki,76.4222199856
ling,76.3964744428
movin',75.8595589073
candyman,75.6066615619
where'd,75.0728135995
balboa,74.6126805477
paperchase,74.6126805477
corazones,74.4462512786
opinion,74.0202556066
casket,73.4255175722
southern,73.3440356225
greenthumb,73.1115462038
stan,72.8925684001
related,72.6441436487
murdarah,72.3999978811
nizl,72.3999978811
nelly,72.0728754964
retarded,71.9872240523
cinderella,71.9267340249
troublesome,71.8909984251
georgia,71.8110115488
binary,71.735292315
boom,71.5681882079
loungin',71.5309894146
lord,71.2259622391
teef,70.9011916939
sookie,70.9011916939
rockin,70.7486673985
lao',70.7018660312
transform,70.4628161201
gonna,69.838958994
wicket,69.7922662255
calm,69.4635855044
swang,68.7204361684
whitey,68.6783268731
yippie,68.4024169617
troubleeeee,68.3777757766
takyon,68.3777757766
scenester,68.3777757766
kreep,68.3777757766
count's,68.3777757766
thrill,68.0030287317
punch,67.9588001734
break,67.8000904206
skeet,67.7303572461
phunk,67.3561321092
louis,67.2923419103
oooh,67.249649495
payback,67.0949385293
